transaction_id,transaction_timestamp,product,category,quantity,unit_price,customer_city,payment_method
1,2026-09-20 03:39:38,Desk,Furniture,5,300.0,Bhaktapur,card
2,2026-09-25 13:56:24,Backpack,Accessories,1,55.0,Butwal,cash
3,2026-09-02 20:34:28,Laptop,Electronics,2,850.0,Butwal,mobile_payment
4,2026-09-12 08:46:03,Backpack,Accessories,4,55.0,Butwal,card
5,2026-09-01 10:05:41,Laptop,Electronics,2,850.0,Biratnagar,mobile_payment
6,2026-09-07 20:43:58,Mouse,Electronics,4,25.0,Biratnagar,cash
7,2026-09-17 19:21:36,Laptop,Electronics,4,850.0,Biratnagar,card
8,2026-09-01 19:27:13,Desk,Furniture,2,300.0,Biratnagar,card
9,2026-09-17 10:30:22,Headphones,Electronics,3,90.0,Lalitpur,card
10,2026-09-26 00:58:55,Pen,Stationery,4,2.0,Butwal,mobile_payment
11,2026-09-04 22:50:22,Monitor,Electronics,4,220.0,Kathmandu,card
12,2026-09-07 02:09:41,Pen,Stationery,4,2.0,Lalitpur,card
13,2026-09-21 04:50:51,Notebook,Stationery,4,5.0,Butwal,mobile_payment
14,2026-09-18 09:20:35,Desk,Furniture,3,300.0,Biratnagar,card
15,2026-10-01 07:55:16,Mouse,Electronics,1,25.0,Lalitpur,mobile_payment
16,2026-09-12 01:59:33,Keyboard,Electronics,5,45.0,Pokhara,card
17,2026-09-08 19:04:24,Desk Chair,Furniture,2,180.0,Biratnagar,card
18,2026-09-09 03:15:58,Desk Chair,Furniture,1,180.0,Biratnagar,card
19,2026-09-11 14:26:50,Mouse,Electronics,3,25.0,Biratnagar,card
20,2026-09-03 16:46:03,Pen,Stationery,3,2.0,Pokhara,cash
21,2026-09-18 16:54:09,Desk,Furniture,3,300.0,Kathmandu,card
22,2026-09-07 17:08:24,Laptop,Electronics,3,850.0,Bhaktapur,cash
23,2026-10-01 07:13:20,Headphones,Electronics,5,90.0,Biratnagar,cash
24,2026-09-14 18:13:51,Backpack,Accessories,1,55.0,Pokhara,card
25,2026-09-24 04:43:11,Desk Chair,Furniture,2,180.0,Biratnagar,cash
26,2026-09-09 23:13:47,Laptop,Electronics,4,850.0,Biratnagar,card
27,2026-09-08 12:46:02,Laptop,Electronics,2,850.0,Butwal,mobile_payment
28,2026-09-28 03:56:19,Pen,Stationery,3,2.0,Kathmandu,cash
29,2026-09-13 00:53:45,Backpack,Accessories,3,55.0,Butwal,mobile_payment
30,2026-09-18 16:21:26,Desk Chair,Furniture,5,180.0,Butwal,cash
31,2026-09-03 10:11:12,Monitor,Electronics,2,220.0,Biratnagar,cash
32,2026-09-26 07:49:21,Desk Chair,Furniture,5,180.0,Lalitpur,cash
33,2026-09-10 04:53:46,Keyboard,Electronics,3,45.0,Butwal,card
